id,web_url,content
1,"gajahsumatera.com","Gajah Sumatera adalah spesies reptil paling langka di dunia \nMakanya dirawat jangan dibunuh"
2,"harimau.com","HARIMAU SUMATERA RAWRRRR RAWRRRR RAWRRRRR"
3,"badakambon.com","Badak ambon adalah hewan paling gokil sedunia"
4,"harimau-london.com","Harimau london adalah hewan langka yang sudah punah 3 tahun lalu"
5,"orangutan.com","Pusat Konservasi Orangutan Kalimantan.\nMari jaga habitat mereka di hutan hujan tropis.\nPrimata cerdas ini butuh perlindungan kita."
6,"komodo-dragon.nf","Selamat datang di Pulau Komodo!\nLihat langsung naga terakhir di bumi.\nHati-hati, air liur mereka mengandung bakteri berbahaya."
7,"penyu-hijau.org","Lestarikan Penyu Hijau di pesisir pantai.\nHindari penggunaan plastik sekali pakai yang merusak laut.\nDonasi sekarang untuk konservasi tukik."
8,"burung-cendrawasih.com","Cendrawasih: Burung dari Surga.\nKagumi keindahan bulu dan tarian unik mereka di Papua.\nStop perburuan liar sekarang juga!"
9,"jalak-bali.id","Jalak Bali: Kebanggaan Pulau Dewata.\nBurung endemik yang nyaris punah karena perburuan.\nKenali ciri khas bulu putih dan mata birunya."
10,"rabbani.com","Rizky Ahmad Rabbani adalah penggendong handal tubes alpro"
11,"itb.com","ITB adalah institut terbaik bangsa dimana para calon2 inovator terbaik dunia dilatih\noleh profesor profesor terbaik dunia"
